julia version 1.10.5
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
0.50 secs, 155 evals, 103 steps, improv/step: 0.573 (last = 0.5728), fitness=1000016.149416076
1.00 secs, 246 evals, 181 steps, improv/step: 0.536 (last = 0.4872), fitness=1000014.288748739
1.50 secs, 357 evals, 290 steps, improv/step: 0.469 (last = 0.3578), fitness=1000014.288748739
2.02 secs, 474 evals, 405 steps, improv/step: 0.440 (last = 0.3652), fitness=1000008.433058011
2.52 secs, 564 evals, 493 steps, improv/step: 0.428 (last = 0.3750), fitness=1000008.433058011
3.02 secs, 660 evals, 589 steps, improv/step: 0.399 (last = 0.2500), fitness=1000008.433058011
3.53 secs, 790 evals, 719 steps, improv/step: 0.387 (last = 0.3308), fitness=1000008.044447443
4.03 secs, 911 evals, 840 steps, improv/step: 0.376 (last = 0.3140), fitness=1000006.902056744
4.53 secs, 1032 evals, 961 steps, improv/step: 0.361 (last = 0.2562), fitness=1000006.792645606
5.03 secs, 1147 evals, 1076 steps, improv/step: 0.351 (last = 0.2696), fitness=1000004.394108436
5.65 secs, 1245 evals, 1174 steps, improv/step: 0.344 (last = 0.2653), fitness=1000003.013882716
61.29 secs, 1344 evals, 1273 steps, improv/step: 0.339 (last = 0.2828), fitness=1.884230775
69.00 secs, 1366 evals, 1295 steps, improv/step: 0.339 (last = 0.3182), fitness=1.884230775
76.58 secs, 1478 evals, 1407 steps, improv/step: 0.335 (last = 0.2857), fitness=1.884230775
85.83 secs, 1480 evals, 1409 steps, improv/step: 0.335 (last = 0.5000), fitness=1.802733567
95.02 secs, 1538 evals, 1467 steps, improv/step: 0.331 (last = 0.2414), fitness=1.802733567
103.48 secs, 1555 evals, 1484 steps, improv/step: 0.332 (last = 0.3529), fitness=1.802733567
112.04 secs, 1557 evals, 1486 steps, improv/step: 0.331 (last = 0.0000), fitness=1.802733567
120.72 secs, 1558 evals, 1487 steps, improv/step: 0.332 (last = 1.0000), fitness=1.802733567
128.07 secs, 1588 evals, 1517 steps, improv/step: 0.328 (last = 0.1667), fitness=1.802733567
137.28 secs, 1612 evals, 1541 steps, improv/step: 0.331 (last = 0.5000), fitness=1.802733567
144.67 secs, 1645 evals, 1574 steps, improv/step: 0.328 (last = 0.2121), fitness=1.696003697
152.22 secs, 1673 evals, 1602 steps, improv/step: 0.328 (last = 0.2857), fitness=1.696003697
163.33 secs, 1719 evals, 1648 steps, improv/step: 0.328 (last = 0.3478), fitness=1.696003697
170.75 secs, 1747 evals, 1676 steps, improv/step: 0.329 (last = 0.3571), fitness=1.696003697
180.14 secs, 1766 evals, 1695 steps, improv/step: 0.327 (last = 0.1579), fitness=1.696003697
188.35 secs, 1774 evals, 1703 steps, improv/step: 0.326 (last = 0.2500), fitness=1.696003697
198.34 secs, 1775 evals, 1704 steps, improv/step: 0.327 (last = 1.0000), fitness=1.696003697
205.31 secs, 1804 evals, 1733 steps, improv/step: 0.324 (last = 0.1379), fitness=1.696003697
213.01 secs, 1805 evals, 1734 steps, improv/step: 0.324 (last = 1.0000), fitness=1.696003697
220.17 secs, 1807 evals, 1736 steps, improv/step: 0.325 (last = 1.0000), fitness=1.696003697
227.49 secs, 1838 evals, 1767 steps, improv/step: 0.324 (last = 0.2581), fitness=1.696003697
234.70 secs, 1873 evals, 1802 steps, improv/step: 0.321 (last = 0.1714), fitness=1.696003697
243.37 secs, 1878 evals, 1807 steps, improv/step: 0.321 (last = 0.4000), fitness=1.608137891
250.49 secs, 1891 evals, 1820 steps, improv/step: 0.320 (last = 0.2308), fitness=1.608137891
260.44 secs, 1895 evals, 1824 steps, improv/step: 0.320 (last = 0.2500), fitness=1.608137891
267.73 secs, 1897 evals, 1826 steps, improv/step: 0.320 (last = 0.5000), fitness=1.608137891
275.27 secs, 1902 evals, 1831 steps, improv/step: 0.321 (last = 0.6000), fitness=1.608137891
283.73 secs, 1917 evals, 1846 steps, improv/step: 0.320 (last = 0.2000), fitness=1.608137891
299.02 secs, 1919 evals, 1848 steps, improv/step: 0.321 (last = 1.0000), fitness=1.608137891
307.54 secs, 1936 evals, 1865 steps, improv/step: 0.321 (last = 0.2941), fitness=1.608137891
319.84 secs, 1938 evals, 1867 steps, improv/step: 0.320 (last = 0.0000), fitness=1.608137891
326.68 secs, 1944 evals, 1873 steps, improv/step: 0.321 (last = 0.5000), fitness=1.608137891
335.53 secs, 1958 evals, 1887 steps, improv/step: 0.320 (last = 0.1429), fitness=1.608137891
347.97 secs, 1971 evals, 1900 steps, improv/step: 0.319 (last = 0.2308), fitness=1.608137891
356.58 secs, 1984 evals, 1913 steps, improv/step: 0.318 (last = 0.1538), fitness=1.608137891
364.04 secs, 1985 evals, 1914 steps, improv/step: 0.318 (last = 1.0000), fitness=1.608137891
372.79 secs, 1991 evals, 1920 steps, improv/step: 0.318 (last = 0.3333), fitness=1.608137891
380.31 secs, 2003 evals, 1932 steps, improv/step: 0.316 (last = 0.0000), fitness=1.608137891
387.36 secs, 2005 evals, 1934 steps, improv/step: 0.316 (last = 0.5000), fitness=1.608137891
396.65 secs, 2006 evals, 1935 steps, improv/step: 0.316 (last = 0.0000), fitness=1.608137891
405.78 secs, 2021 evals, 1950 steps, improv/step: 0.316 (last = 0.3333), fitness=1.608137891
414.31 secs, 2022 evals, 1951 steps, improv/step: 0.317 (last = 1.0000), fitness=1.608137891
423.97 secs, 2036 evals, 1965 steps, improv/step: 0.316 (last = 0.2143), fitness=1.608137891
432.92 secs, 2040 evals, 1969 steps, improv/step: 0.316 (last = 0.2500), fitness=1.608137891
444.35 secs, 2043 evals, 1972 steps, improv/step: 0.317 (last = 1.0000), fitness=1.608137891
452.10 secs, 2047 evals, 1976 steps, improv/step: 0.317 (last = 0.2500), fitness=1.608137891
460.93 secs, 2055 evals, 1984 steps, improv/step: 0.316 (last = 0.1250), fitness=1.608137891
468.36 secs, 2056 evals, 1985 steps, improv/step: 0.316 (last = 1.0000), fitness=1.608137891
475.42 secs, 2058 evals, 1987 steps, improv/step: 0.317 (last = 1.0000), fitness=1.608137891
483.16 secs, 2062 evals, 1991 steps, improv/step: 0.317 (last = 0.5000), fitness=1.608137891
490.29 secs, 2065 evals, 1994 steps, improv/step: 0.317 (last = 0.3333), fitness=1.608137891
498.77 secs, 2066 evals, 1995 steps, improv/step: 0.318 (last = 1.0000), fitness=1.608137891
508.50 secs, 2069 evals, 1998 steps, improv/step: 0.318 (last = 0.6667), fitness=1.608137891
522.17 secs, 2070 evals, 1999 steps, improv/step: 0.318 (last = 0.0000), fitness=1.608137891
529.65 secs, 2073 evals, 2002 steps, improv/step: 0.318 (last = 0.3333), fitness=1.608137891
536.97 secs, 2075 evals, 2004 steps, improv/step: 0.318 (last = 0.5000), fitness=1.608137891
544.00 secs, 2079 evals, 2008 steps, improv/step: 0.319 (last = 0.5000), fitness=1.608137891
551.45 secs, 2081 evals, 2010 steps, improv/step: 0.319 (last = 0.5000), fitness=1.608137891
559.35 secs, 2082 evals, 2011 steps, improv/step: 0.319 (last = 1.0000), fitness=1.608137891
568.68 secs, 2084 evals, 2013 steps, improv/step: 0.319 (last = 0.5000), fitness=1.608137891
576.45 secs, 2087 evals, 2016 steps, improv/step: 0.319 (last = 0.0000), fitness=1.608137891
583.83 secs, 2097 evals, 2026 steps, improv/step: 0.318 (last = 0.2000), fitness=1.570404478
591.69 secs, 2101 evals, 2030 steps, improv/step: 0.318 (last = 0.2500), fitness=1.570404478
598.93 secs, 2103 evals, 2032 steps, improv/step: 0.319 (last = 1.0000), fitness=1.570404478
608.64 secs, 2111 evals, 2040 steps, improv/step: 0.319 (last = 0.2500), fitness=1.570404478
615.72 secs, 2114 evals, 2043 steps, improv/step: 0.318 (last = 0.0000), fitness=1.570404478
624.48 secs, 2123 evals, 2052 steps, improv/step: 0.317 (last = 0.1111), fitness=1.570404478
631.09 secs, 2124 evals, 2053 steps, improv/step: 0.317 (last = 0.0000), fitness=1.570404478
639.31 secs, 2132 evals, 2061 steps, improv/step: 0.316 (last = 0.0000), fitness=1.570404478
646.85 secs, 2138 evals, 2067 steps, improv/step: 0.316 (last = 0.3333), fitness=1.570404478
654.51 secs, 2140 evals, 2069 steps, improv/step: 0.316 (last = 0.0000), fitness=1.570404478
662.87 secs, 2141 evals, 2070 steps, improv/step: 0.316 (last = 1.0000), fitness=1.570404478
669.87 secs, 2144 evals, 2073 steps, improv/step: 0.315 (last = 0.0000), fitness=1.570404478
677.90 secs, 2145 evals, 2074 steps, improv/step: 0.315 (last = 0.0000), fitness=1.570404478
684.66 secs, 2148 evals, 2077 steps, improv/step: 0.316 (last = 0.6667), fitness=1.570404478
692.59 secs, 2150 evals, 2079 steps, improv/step: 0.316 (last = 0.0000), fitness=1.570404478
699.08 secs, 2151 evals, 2080 steps, improv/step: 0.315 (last = 0.0000), fitness=1.570404478
705.95 secs, 2161 evals, 2090 steps, improv/step: 0.316 (last = 0.4000), fitness=1.530181620
713.18 secs, 2165 evals, 2094 steps, improv/step: 0.316 (last = 0.5000), fitness=1.530181620
719.79 secs, 2166 evals, 2095 steps, improv/step: 0.316 (last = 1.0000), fitness=1.530181620
726.47 secs, 2169 evals, 2098 steps, improv/step: 0.316 (last = 0.3333), fitness=1.530181620
733.40 secs, 2172 evals, 2101 steps, improv/step: 0.316 (last = 0.0000), fitness=1.530181620
740.15 secs, 2173 evals, 2102 steps, improv/step: 0.316 (last = 0.0000), fitness=1.530181620
746.99 secs, 2175 evals, 2104 steps, improv/step: 0.316 (last = 0.0000), fitness=1.530181620
754.15 secs, 2176 evals, 2105 steps, improv/step: 0.316 (last = 1.0000), fitness=1.530181620
761.22 secs, 2178 evals, 2107 steps, improv/step: 0.316 (last = 0.5000), fitness=1.530181620
768.72 secs, 2179 evals, 2108 steps, improv/step: 0.316 (last = 1.0000), fitness=1.530181620
779.10 secs, 2180 evals, 2109 steps, improv/step: 0.316 (last = 0.0000), fitness=1.530181620
787.94 secs, 2187 evals, 2116 steps, improv/step: 0.316 (last = 0.1429), fitness=1.530181620
796.35 secs, 2190 evals, 2119 steps, improv/step: 0.316 (last = 0.6667), fitness=1.530181620
803.91 secs, 2195 evals, 2124 steps, improv/step: 0.317 (last = 0.8000), fitness=1.530181620
815.64 secs, 2202 evals, 2131 steps, improv/step: 0.317 (last = 0.2857), fitness=1.530181620
822.81 secs, 2203 evals, 2132 steps, improv/step: 0.318 (last = 1.0000), fitness=1.530181620
829.73 secs, 2208 evals, 2137 steps, improv/step: 0.317 (last = 0.2000), fitness=1.530181620
839.49 secs, 2209 evals, 2138 steps, improv/step: 0.317 (last = 0.0000), fitness=1.530181620
848.43 secs, 2220 evals, 2149 steps, improv/step: 0.317 (last = 0.2727), fitness=1.530181620
860.22 secs, 2222 evals, 2151 steps, improv/step: 0.317 (last = 0.5000), fitness=1.530181620
867.35 secs, 2233 evals, 2162 steps, improv/step: 0.317 (last = 0.2727), fitness=1.530181620
876.99 secs, 2240 evals, 2169 steps, improv/step: 0.317 (last = 0.4286), fitness=1.530181620
885.30 secs, 2242 evals, 2171 steps, improv/step: 0.318 (last = 1.0000), fitness=1.530181620
893.65 secs, 2243 evals, 2172 steps, improv/step: 0.318 (last = 1.0000), fitness=1.530181620
901.95 secs, 2246 evals, 2175 steps, improv/step: 0.318 (last = 0.3333), fitness=1.530181620
911.24 secs, 2247 evals, 2176 steps, improv/step: 0.318 (last = 1.0000), fitness=1.530181620
922.68 secs, 2249 evals, 2178 steps, improv/step: 0.318 (last = 0.0000), fitness=1.530181620
929.95 secs, 2252 evals, 2181 steps, improv/step: 0.319 (last = 0.6667), fitness=1.530181620
937.34 secs, 2258 evals, 2187 steps, improv/step: 0.318 (last = 0.0000), fitness=1.530181620
944.67 secs, 2268 evals, 2197 steps, improv/step: 0.317 (last = 0.2000), fitness=1.530181620
952.11 secs, 2270 evals, 2199 steps, improv/step: 0.317 (last = 0.5000), fitness=1.467847551
959.57 secs, 2276 evals, 2205 steps, improv/step: 0.317 (last = 0.1667), fitness=1.467847551
966.67 secs, 2277 evals, 2206 steps, improv/step: 0.317 (last = 1.0000), fitness=1.467847551
975.48 secs, 2279 evals, 2208 steps, improv/step: 0.317 (last = 0.0000), fitness=1.467847551
982.85 secs, 2280 evals, 2209 steps, improv/step: 0.317 (last = 0.0000), fitness=1.467847551
990.22 secs, 2282 evals, 2211 steps, improv/step: 0.317 (last = 0.0000), fitness=1.467847551
998.82 secs, 2283 evals, 2212 steps, improv/step: 0.317 (last = 1.0000), fitness=1.467847551
1011.00 secs, 2287 evals, 2216 steps, improv/step: 0.317 (last = 0.2500), fitness=1.467847551
1020.81 secs, 2295 evals, 2224 steps, improv/step: 0.316 (last = 0.0000), fitness=1.467847551
1028.63 secs, 2296 evals, 2225 steps, improv/step: 0.316 (last = 0.0000), fitness=1.467847551
1036.49 secs, 2300 evals, 2229 steps, improv/step: 0.315 (last = 0.2500), fitness=1.467847551
1044.82 secs, 2306 evals, 2235 steps, improv/step: 0.315 (last = 0.3333), fitness=1.467847551
1053.56 secs, 2313 evals, 2242 steps, improv/step: 0.315 (last = 0.1429), fitness=1.467847551
1066.26 secs, 2316 evals, 2245 steps, improv/step: 0.315 (last = 0.3333), fitness=1.467847551
1073.07 secs, 2318 evals, 2247 steps, improv/step: 0.315 (last = 0.5000), fitness=1.467847551
1080.73 secs, 2322 evals, 2251 steps, improv/step: 0.315 (last = 0.2500), fitness=1.467847551
