cyclone_name,type,year,reef_name,reef_id,year_before,year_after
Olga,s,2010.0630136986301,Agincourt Reef No.1,15099103104,2010,2011
Yasi,s,2011.0876712328768,Agincourt Reef No.1,15099103104,2011,2012
Yasi,s,2011.0876712328768,Arlington Reef,16064100104,2010,2012
#Ului,s,2010.213698630137,Ben Reef,20113100104,,
Hamish,s,2009.1808219178083,Boult Reef,23079100104,2008,2010
#unknown,c,2011.0,Bowden Reef,19019100104,,
unknown storm,s,2008.4136986301369,Broomfield Reef,23048100104,2008,2009
Hamish,s,2009.0,Broomfield Reef,23048100104,2009,2010
Jasmine,s,2012.0876712328768,Carter Reef,14137100104,2011,2013
Ita,s,2014.0,Carter Reef,14137100104,2013,2015
Nathan,m,2016.0849315068492,Carter Reef,14137100104,2015,2017
Yasi,s,2011.0876712328768,Chicken Reef,18086100104,2010,2011
Hamish,s,2009.18,Chinaman Reef (22-102),22102100104,2010,2011
unknown,c,2017.0,Chinaman Reef (22-102),22102100104,2016,2018
unknown,c,2018.0,Chinaman Reef (22-102),22102100104,2018,2019
unknown,c,2019.0,Chinaman Reef (22-102),22102100104,2019,2020
#Hamish,s,2009.1808219178083,Creal Reef,20297100104,,
#unknown,c,2013.0,Creal Reef,20297100104,,
#Debbie,s,2017.2356164383561,Credlin Reef East,20287100104,,
Yasi,s,2011.0876712328768,Davies Reef,18096100104,2009,2011
Yasi,s,2011.0876712328768,Dip Reef,18039100104,2009,2011
#Ita,s,2014.2794520547945,East Cay,21305100104,,
Hamish,s,2009.1808219178083,Erskine Island,23068100104,2008,2010
unknown,m,2020.0849315068492,Erskine Island,23068100104,2018,2020
unknown,m,2008.0,Fairfax Island,23081100104,2006,2008
Hamish,s,2009.1808219178083,Fairfax Island,23081100104,2008,2010
unknown,c,2012.0,Fairfax Island,23081100104,2010,2012
unknown,c,2014.0,Fairfax Island,23081100104,2012,2014
Yasi,s,2011.0,Farquharson Reef,17063101104,2010,2012
unknown,c,2018.0,Farquharson Reef,17063101104,2016,2018
Tasha,s,2010.978082191781,Fitzroy Island,16054101104,2009,2011
unknown,c,2015,Fitzroy Island,16054101104,2013,2015
Yasi,s,2011.0876712328768,Fork Reef,18083100104,2010,2012
#unknown,c,2013.0,Forrester Reef,15009100104,,
#unknown,c,2015.0,Forrester Reef,15009100104,,
Hamish,s,2009.1808219178083,Gannet Cay,21556100104,2009,2011
unknown,c,2019.0,Gannet Cay,21556100104,2017,2019
unknown,c,2021.0,Gannet Cay,21556100104,2019,2021
unknown,c,2013.0,Green Island,16049100104,2011,2013
Yasi,s,2011.0876712328768,Grub Reef (18-077),18077100104,2010,2012
#unknown,m,2016.0849315068492,Harrier Reef,15025100104,,
Yasi,s,2011.0876712328768,Hedley Reef,17014100104,2010,2012
unknown,c,2008.0,Helix Reef,18076100104,2006,2008
Yasi,s,2011.0876712328768,Helix Reef,18076100104,2010,2012
#unknown,c,2011.0,Helsdon Reef,14135100104,,
#unknown,c,2013.0,Helsdon Reef,14135100104,,
#unknown,c,2015.0,Helsdon Reef,14135100104,,
unknown,c,2019.0,Horseshoe Reef,22104101104,2017,2019
unknown,m,2008.0,Hoskyn Island,23080100104,2008,2010
Hamish,s,2009.18,Hoskyn Island,23080100104,2008,2010
Hamish,s,2009.1808219178083,Hyde Reef,19207100104,2007,2009
Ului,s,2010.0,Hyde Reef,19207100104,2009,2011
#Hamish,s,2009.1808219178083,Jenkins Reef,21584100104,,
unknown,c,2018.0,Jenkins Reef,21584100104,2016,2018
unknown,c,2019.0,John Brewer Reef,18075100104,2017,2020
Yasi,s,2011.0876712328768,Knife Reef,18081100104,2010,2012
unknown,m,2008.0,Lady Musgrave Island,23082101104,2008,2009
Hamish,s,2009.1808219178083,Lady Musgrave Island,23082101104,2009,2010
unknown,c,2013.0,Linnet Reef,14126100104,2011,2013
Nathan,s,2015.2109589041097,Linnet Reef,14126100104,2013,2015
Yasi,s,2011.0,Little Kelso Reef,18031100104,2010,2012
#unknown,m,2017.0849315068492,Little Kelso Reef,18031100104,2016,2018
#unknown,c,2020.0,Little Kelso Reef,18031100104,0,0
Ita,s,2015.0,Lizard Isles,14116101104,2013,2015
unknown,m,2016.0849315068492,Lizard Isles,14116101104,2015,2017
unknown,c,2015.0,Macgillivray Reef,14114100104,2013,2015
unknown,m,2016.08,Macgillivray Reef,14114100104,2015,2017
unknown,c,2015.0,Mackay Reef,16015100104,2013,2015
unknown,c,2013.0,Martin Reef,14123100104,2013,2015
unknown,m,2016.0849315068492,Martin Reef,14123100104,2015,2017
Yasi,s,2011.0876712328768,Michaelmas Cay,16060100104,2009,2011
unknown,c,2017.0,Michaelmas Cay,16060100104,2017,2019
Yasi,s,2011.0876712328768,Moore Reef,16071100104,2010,2012
Yasi,s,2011.0876712328768,Myrmidon Reef,18034100104,2009,2011
Ita,s,2014.2739726027398,No Name Reef,14139100104,2013,2015
unknown,m,2016.0849315068492,No Name Reef,14139100104,2015,2017
Hamish,s,2009.18,North Island,23045101104,2008,2010
unknown,c,2011.0,North Direction Island,14143100104,2009,2011
Ita,s,2014.27,North Direction Island,14143100104,2013,2015
Nathan,s,2015.0,North Direction Island,14143100104,2015,2017
unknown,m,2008.0,One Tree Island,23055101104,2007,2009
Hamish,s,2009.1835616438357,One Tree Island,23055101104,2009,2011
Yasi,s,2011.0876712328768,Peart Reef,17024100104,2010,2012
unknown,c,2016.0,Peart Reef,17024100104,2014,2016
unknown,c,2018.0,Peart Reef,17024100104,2016,2018
#unknown,c,2015.0,Pickersgill Reef,15093100104,,
Hamish,s,2009.1808219178083,Pompey Reef No.1,20351101104,2008,2010
Marcia,s,2015.1342465753426,Pompey Reef No.1,20351101104,2014,2016
Hamish,s,2009.1808219178083,Pompey Reef No.2,20351102104,2008,2010
Marcia,s,2015.1342465753426,Pompey Reef No.2,20351102104,2014,2016
Hamish,s,2009.0,Rebe Reef,19209100104,2007,2009
Ului,s,2010.213698630137,Rebe Reef,19209100104,2009,2011
Hamish,s,2009.1808219178083,Reef 19-131,19131101104,2009,2011
Debbie,s,2017.2356164383561,Reef 19-131,19131101104,2017,2019
Ului,s,2010.213698630137,Reef 19-138,19138100104,2009,2011
