cyclone_name,type,year,reef_name,reef_id,year_before,year_after,cover_before,cover_after
Olga,s,2010.0630136986301,Agincourt Reef No.1,15099103104,2010,2011,0.22500673296192308,0.1806396759108299
Yasi,s,2011.0876712328768,Agincourt Reef No.1,15099103104,2011,2012,0.1806396759108299,0.11112356331642735
Yasi,s,2011.0876712328768,Arlington Reef,16064100104,2010,2012,0.14059874379004386,0.12060445616109515
Ului,s,2010.213698630137,Ben Reef,20113100104,2007,2011,0.41052103611152957,0.09138724812391973
Hamish,s,2009.1808219178083,Boult Reef,23079100104,2008,2010,0.24753271952747294,0.1204442807090163
unknown,c,2011.0,Bowden Reef,19019100104,2007,2011,0.16432985242701542,0.14886284046146184
unknown storm,s,2008.4136986301369,Broomfield Reef,23048100104,2008,2009,0.3981406171112813,0.1849598671481191
Hamish,s,2009.0,Broomfield Reef,23048100104,2009,2010,0.1849598671481191,0.1873580625471469
Jasmine,s,2012.0876712328768,Carter Reef,14137100104,2011,2013,0.22124209961722904,0.17301402883503159
Ita,s,2014.0,Carter Reef,14137100104,2013,2015,0.17301402883503159,0.1391620790963517
Nathan,m,2016.0849315068492,Carter Reef,14137100104,2015,2017,0.1391620790963517,0.10567361579333691
Yasi,s,2011.0876712328768,Chicken Reef,18086100104,2010,2011,0.13652823148587853,0.08431000985515667
Hamish,s,2009.18,Chinaman Reef (22-102),22102100104,2008,2010,0.1935982740878966,0.18205503451228588
unknown,c,2017.0,Chinaman Reef (22-102),22102100104,2017,2018,0.470790722776956,0.20211687607681808
unknown,c,2018.0,Chinaman Reef (22-102),22102100104,2018,2019,0.20211687607681808,0.10389129134645504
unknown,c,2019.0,Chinaman Reef (22-102),22102100104,2019,2020,0.10389129134645504,0.10399345032025027
Hamish,s,2009.1808219178083,Creal Reef,20297100104,2007,2009,0.6962987910361156,0.13576564298005972
unknown,c,2013.0,Creal Reef,20297100104,2009,2013,0.13576564298005972,0.09196415262431265
Debbie,s,2017.2356164383561,Credlin Reef East,20287100104,2017,2019,0.27833157891883215,0.12967007925013244
Yasi,s,2011.0876712328768,Davies Reef,18096100104,2009,2013,0.203275098940432,0.11179644759265028
Yasi,s,2011.0876712328768,Dip Reef,18039100104,2007,2011,0.17883852638358097,0.1015857898369443
Ita,s,2014.2794520547945,East Cay,21305100104,2014,2015,0.29181370539608237,0.24542680356340096
