cyclone_name,type,year,reef_name,reef_id,year_before,year_after,cover_before_Tabular_Acropora,cover_after_Tabular_Acropora,cover_before_Corymbose_Acropora,cover_after_Corymbose_Acropora,cover_before_Corymbose_non_Acropora,cover_after_Corymbose_non_Acropora,cover_before_Small_Massives,cover_after_Small_Massives,cover_before_Large_Massives,cover_after_Large_Massives
Olga,s,2010.0630136986301,Agincourt Reef No.1,15099103104,2010,2011,0.06599176832419593,0.05818131306147652,0.12627621918724424,0.10815349244455888,0.08546590662169073,0.05637557683315861,0.026047801315026424,0.021964968517109593,0.01604625993330616,0.010180142030252656
Yasi,s,2011.0876712328768,Agincourt Reef No.1,15099103104,2011,2012,0.05818131306147652,0.00594571062670965,0.10815349244455888,0.046511433565614664,0.05637557683315861,0.014720826505974465,0.021964968517109593,0.025054400101773185,0.010180142030252656,0.010826064337363833
Yasi,s,2011.0876712328768,Arlington Reef,16064100104,2010,2012,0.035271458271624326,0.014769791496974468,0.05420992665659985,0.029006071012898864,0.044169769757420894,0.030936196228574245,0.048071256130506265,0.04290307680755761,0.016236995275877953,0.019485935023466003
Hamish,s,2009.1808219178083,Boult Reef,23079100104,2008,2010,0.2411771240612001,0.0071725100847068075,0.2554268337906608,0.031725728104713094,0.0070576199718225775,0.003312532423424807,0.004438192293776931,0.01275661533899225,0.0017742474484581374,0.0014719624425415876
unknown storm,s,2008.4136986301369,Broomfield Reef,23048100104,2008,2009,0.1726866490751518,0.0332294753599794,0.22408595148615362,0.07243909976779551,0.008723057064732169,0.0047970909740538345,0.020318205156318353,0.01451562444612798,0.00766664612956552,0.004323612501101162
Hamish,s,2009.0,Broomfield Reef,23048100104,2009,2010,0.0332294753599794,0.017260881817798498,0.07243909976779551,0.06022170612431445,0.0047970909740538345,0.0021212536018775227,0.01451562444612798,0.02293710023741514,0.004323612501101162,0.008296994709704946
Jasmine,s,2012.0876712328768,Carter Reef,14137100104,2011,2013,0.09065016666422819,0.038419587591324064,0.15605557145607687,0.09800410649086708,0.10619459206678074,0.08838161716736465,0.031108627131105286,0.03713476135893163,0.02030776206954702,0.024085974657145993
Ita,s,2014.0,Carter Reef,14137100104,2013,2015,0.038419587591324064,0.03234714143567382,0.09800410649086708,0.08747700205421624,0.08838161716736465,0.07139366036261631,0.03713476135893163,0.030748608523292684,0.024085974657145993,0.015672373307340334
Nathan,m,2016.0849315068492,Carter Reef,14137100104,2015,2017,0.03234714143567382,0.0009386009573592876,0.08747700205421624,0.010211570819403253,0.07139366036261631,0.04230712424821868,0.030748608523292684,0.015143974194553775,0.015672373307340334,0.0051532756740864105
Yasi,s,2011.0876712328768,Chicken Reef,18086100104,2010,2011,0.009732482309977728,0.001929747525673462,0.010549943029550212,0.004077672338763364,0.028067559917868898,0.005480070734638947,0.0419563311675793,0.02427403228556781,0.03952904310347056,0.021970730552652935
Hamish,s,2009.18,Chinaman Reef (22-102),22102100104,2010,2011,0.03570040508489616,0.022742969258502586,0.04911459090711276,0.03288960426305701,0.04455937162577162,0.04266068394680141,0.07580297739611346,0.059250792618349354,0.07445073695582007,0.06417998830477233
unknown,c,2017.0,Chinaman Reef (22-102),22102100104,2016,2018,0.06138925642017825,0.035310212515176985,0.0890991325143987,0.04413101728045351,0.06216659383053186,0.045618660729975724,0.09362317000903751,0.051856881687740185,0.06275893999254646,0.06976637045350327
unknown,c,2018.0,Chinaman Reef (22-102),22102100104,2018,2019,0.035310212515176985,0.007568110981629481,0.04413101728045351,0.01005051300257175,0.045618660729975724,0.03048901922698264,0.051856881687740185,0.02886168198622504,0.06976637045350327,0.05979899315326809
unknown,c,2019.0,Chinaman Reef (22-102),22102100104,2019,2020,0.007568110981629481,0.0070429853407854145,0.01005051300257175,0.012719580730015055,0.03048901922698264,0.025672442520861635,0.02886168198622504,0.03158674985344248,0.05979899315326809,0.057284523428060403
Yasi,s,2011.0876712328768,Davies Reef,18096100104,2009,2011,0.03293447426783044,0.006082427639407713,0.05058701815914363,0.02358234783646482,0.05150660717200995,0.017486190362315582,0.08762486288294322,0.07359880946181795,0.0563291961780217,0.043701593390731805
Yasi,s,2011.0876712328768,Dip Reef,18039100104,2009,2011,0.016259908341030825,0.0006990856404632043,0.07670611109427408,0.0424978715161969,0.029759476371799886,0.004290471432216348,0.03430892201870534,0.019908032089003363,0.029033391225060892,0.016083200568629524
