# Raw per-reef MANTA disturbance history (ALL types, unfiltered), cached from
# ReefMonitoring.get_disturbances - read by 07_create_unmapped_disturbance_years.jl.
# Generated: 2026-07-30T18:03:39.586
reef_id,reef_name,type,ddate,description
14114100104,Macgillivray Reef,u,2008.0,Not known
14114100104,Macgillivray Reef,c,2015.0,COTS
14114100104,Macgillivray Reef,m,2016.0849315068492,bleaching in sector. COTS and cyclone
14123100104,Martin Reef,u,2008.0,Not known
14123100104,Martin Reef,c,2013.0,COTS
14123100104,Martin Reef,m,2016.0849315068492,"Bleaching, COTS, storm damage"
14126100104,Linnet Reef,u,2008.0,Not known
14126100104,Linnet Reef,c,2013.0,COTS
14126100104,Linnet Reef,s,2015.2109589041097,0+ bleaching in sector
14135100104,Helsdon Reef,c,2011.0,COTS
14135100104,Helsdon Reef,c,2013.0,COTS
14135100104,Helsdon Reef,c,2015.0,"COTS, COTS removal"
14137100104,Carter Reef,s,2012.0876712328768,Storm damage
14137100104,Carter Reef,m,2016.0849315068492,"0+ survey severe bleaching in sector 2016 summer, also severe storm damage"
14138100104,Yonge Reef,s,2014.2739726027398,Storm damage
14138100104,Yonge Reef,m,2016.0849315068492,"bleaching mortality, storm dmage"
14139100104,No Name Reef,s,2014.2739726027398,Storm damage
14139100104,No Name Reef,m,2016.0849315068492,"Bleaching, storm damage"
14143100104,North Direction Island,u,2008.0,Not known
14143100104,North Direction Island,u,2010.0,Not known
14143100104,North Direction Island,c,2011.0,"Olga tracked in from E toward agincourt and then down inshore end jan 2010, max cat 2"
14143100104,North Direction Island,s,2014.2739726027398,"COTS ,Cyclone Ita April 2014, 0+bl"
14143100104,North Direction Island,u,2022.0,
15009100104,Forrester Reef,c,2013.0,COTS
15009100104,Forrester Reef,c,2015.0,"COTS, COTS removal"
15012100104,Boulder Reef,u,2011.0,Not known
15012100104,Boulder Reef,u,2021.0,"multiple (C, S, B?) but from a while back"
15025100104,Harrier Reef,m,2016.0849315068492,"Bleaching, storm damage"
15028100104,Startle Reef East,c,2013.0,COTS
15028100104,Startle Reef East,c,2015.0,"COTS, COTS removal"
15030100104,Swinger Reef,c,2010.0,COTS
15030100104,Swinger Reef,m,2015.0,"COTS, storm damage, COTS removal"
15034100104,Reef 15-034,b,2016.0849315068492,Bleaching
15093100104,Pickersgill Reef,c,2015.0,COTS
15093100104,Pickersgill Reef,b,2017.0849315068492,Bleaching summer 2015/16 and 2016/17
15099103104,Agincourt Reef No.1,s,2010.0630136986301,pre yasi survey - olga or  (Tasha 24 Dec 2010 cat 1 passed ~90km south)
15099103104,Agincourt Reef No.1,b,2016.0849315068492,bleaching mortality-decline in HC and SC
15099103104,Agincourt Reef No.1,s,2011.0876712328768,"Cyclone Yasi February 2011, post yasi survey ( has bleaching here before"
16015100104,Mackay Reef,c,2015.0,"COTS, COTS removal"
16015100104,Mackay Reef,b,2017.0849315068492,Bleaching summer 2016/17
16019100104,St. Crispin Reef,b,2016.0849315068492,bleaching mortality- HC and particularly SC
16019100104,St. Crispin Reef,s,2011.0876712328768,"Cyclone Yasi, February 2011"
16019100104,St. Crispin Reef,b,2017.0849315068492,
16025100104,Opal Reef,b,2016.0849315068492,"bleaching mortality- HC and particularly SC, COTS removal-2188"
16025100104,Opal Reef,b,2017.0849315068492,Bleaching summer 2016/17 probably COTS too
16028100104,Low Isles,u,2020.0,no evidence
16028100104,Low Isles,b,2017.0849315068492,bl- DHW 11 in 2017 after survey. COTS see PPOINT
16049100104,Green Island,c,2013.0,32 COTS
16049100104,Green Island,b,2017.0849315068492,Bleaching summer 2015/16 and 2016/17
16054101104,Fitzroy Island,s,2010.978082191781,"Cyclone Yasi, February 2011"
