reef_name,reef_id,dist_year,survival_rate_Tabular_Acropora,survival_rate_Corymbose_Acropora,survival_rate_Corymbose_non_Acropora,survival_rate_Small_Massives,survival_rate_Large_Massives
Agincourt Reef No.1,15099103104,2011,0.7622631063882095,0.7405086325280634,0.5703077096037346,0.7290724079803919,0.5485183514338272
Agincourt Reef No.1,15099103104,2012,0.13151303380516285,0.553436404967382,0.33603904505507315,1.0,1.0
Arlington Reef,16064100104,2012,0.365655080284366,0.46723003096207605,0.6115929087541807,0.77933401340589,1.0
Ben Reef,20113100104,2011,0.10593211138445568,0.1423020022133412,0.26380702860754823,0.21793831795093427,0.22907143324408993
Boult Reef,23079100104,2010,0.09877896326375603,0.41254800011802206,1.0,1.0,1.0
Bowden Reef,19019100104,2011,0.30649735352039265,0.3809645635087305,0.49147194892699453,0.759875141414537,0.6858736688217998
Broomfield Reef,23048100104,2009,0.2725327435605906,0.4578385738673867,0.7788668270962612,1.0,0.7987213840915048
Broomfield Reef,23048100104,2010,0.5200060054041227,0.8322405556127639,0.4426734779996794,1.0,1.0
Carter Reef,14137100104,2013,0.34794711911416243,0.5155777280759468,0.6832642470063285,0.9800064749151198,0.9737137702504453
Carter Reef,14137100104,2015,0.5867142664838775,0.622003827460732,0.5629128268778527,0.5770165500169446,0.453433896296004
Carter Reef,14137100104,2017,0.05000638505820339,0.20117732915480427,1.0,0.8487792794385269,0.5666683844661198
Chicken Reef,18086100104,2011,0.22969428762466712,0.44774993927155016,0.22618032860644297,0.670220558641423,0.6438749387244644
Chinaman Reef (22-102),22102100104,2010,0.5511002536022591,0.5793015726476864,0.8282192999329715,0.676183378070819,0.7457396303904059
Chinaman Reef (22-102),22102100104,2018,0.34458131219619925,0.2967250591467532,0.43961167800719564,0.3318232540656679,0.6659694268371189
Chinaman Reef (22-102),22102100104,2019,0.1692643572151932,0.17985505422702333,0.527812022850067,0.4395351330209294,0.676902468172173
Chinaman Reef (22-102),22102100104,2020,0.7831891683781576,1.0,0.7086325809718068,0.9210446497476978,0.8061963224666227
Creal Reef,20297100104,2009,0.11584453802956167,0.19576262251001134,0.2024241535849927,0.220749150513358,0.2645044393225465
Creal Reef,20297100104,2013,0.1993480227606154,0.3368729539742735,0.34833627430809067,0.3798703627243419,0.455165499273685
Credlin Reef East,20287100104,2019,0.23040295786056045,0.32570873254567884,0.26635195251092625,0.4256833750825879,0.4893800923264814
Davies Reef,18096100104,2013,0.09697595046808809,0.24478555669742025,0.17826664371651474,0.4410433385097869,0.4073817290696838
Dip Reef,18039100104,2011,0.05,0.3823593324393406,0.09949796763356082,0.40045686203245545,0.3823043083520237
East Cay,21305100104,2015,0.25105757439371856,0.33174484608859506,1.0,1.0,1.0
Erskine Island,23068100104,2010,0.48911281849134997,0.5423701598729812,0.1758084709286611,0.8274502521652851,1.0
Erskine Island,23068100104,2021,0.7128303455581338,0.8384342258518082,1.0,0.8676740715045757,1.0
Fairfax Island,23081100104,2008,0.7437683633782198,0.7325168934752586,1.0,0.6104320749380968,1.0
Fairfax Island,23081100104,2010,0.2613357633436975,0.30354702792157495,0.4901828041046286,1.0,1.0
Fairfax Island,23081100104,2012,0.6608605357988694,0.6369525691735219,0.1721358554973607,0.624689403709193,1.0
Fairfax Island,23081100104,2014,0.7833578697276307,0.7243201694488735,1.0,0.6205216867073331,0.5815198928051348
Farquharson Reef,17063101104,2012,0.4134844122329223,0.4134844122329223,0.5706604628525819,0.6953689125651387,0.47016329806345836
Farquharson Reef,17063101104,2018,0.39461867435311093,0.39461867435311093,0.12321752999420825,0.7896134551554391,0.5957083773357256
Fitzroy Island,16054101104,2012,0.4685483233178597,0.6751916716108921,1.0,0.6544086131453521,0.5226082284816187
Fitzroy Island,16054101104,2017,0.6258204963497721,0.49394171108749846,0.6728142294252953,0.3689530310393048,0.5028082469683957
Fork Reef,18083100104,2012,0.05,0.1971392984425128,0.13440136938332095,0.7438915982615394,0.5105709410139828
Forrester Reef,15009100104,2013,1.0,0.39314192774932977,0.3733031290095179,0.3410959253381487,0.545071269768875
Forrester Reef,15009100104,2015,0.8579701709173596,0.2894393375549963,0.2748335975923045,0.2511219783597618,0.4012929074885038
